"scientificName","decimalLongitude","decimalLatitude"
"Rupicola_peruvianus",-73.569,4.980227
"Rupicola_peruvianus",-72.81246,-12.207889
"Rupicola_peruvianus",-79.02711,-3.956
"Rupicola_peruvianus",-65.97729,-16.502518
"Rupicola_peruvianus",-78.038601,-1.466378
"Rupicola_peruvianus",-77.98364,-1.36962
"Rupicola_peruvianus",-76.60478,1.751949
"Rupicola_peruvianus",-76.59653,1.164179
"Rupicola_peruvianus",-78.02779,-0.412785
"Rupicola_peruvianus",-75.723976,1.712328
"Rupicola_peruvianus",-75.652954,3.574242
"Rupicola_peruvianus",-72.434064,-13.021814
"Rupicola_peruvianus",-76.68314,1.208548
"Rupicola_peruvianus",-75.66589,3.836262
"Rupicola_peruvianus",-78.58171,-3.834221
"Rupicola_peruvianus",-75.460082,-10.911977
"Rupicola_peruvianus",-72.53788,-13.14354
"Rupicola_peruvianus",-75.465154,4.772313
"Rupicola_peruvianus",-77.808432,-6.100156
"Rupicola_peruvianus",-77.73504,-0.21537
"Rupicola_peruvianus",-75.45457,3.917329
"Rupicola_peruvianus",-77.768051,-0.799775
"Rupicola_peruvianus",-75.67005,2.671377
"Rupicola_peruvianus",-76.086557,5.981085
"Rupicola_peruvianus",-68.49265,-15.08867
"Rupicola_peruvianus",-72.744997,-13.031701
"Rupicola_peruvianus",-78.67652,-3.433301
"Rupicola_peruvianus",-76.83559,3.63442
"Rupicola_peruvianus",-75.461621,-10.097864
"Rupicola_peruvianus",-78.2607,-1.492161
"Rupicola_peruvianus",-73,5.2
"Rupicola_peruvianus",-71.38502,-12.854039
"Rupicola_peruvianus",-76.25769,1.71121
"Rupicola_peruvianus",-71.561859,-13.065626
"Rupicola_peruvianus",-71.489256,-13.179116
"Rupicola_peruvianus",-77.69754,-0.663609
"Rupicola_peruvianus",-78.71997,0.027587
"Rupicola_peruvianus",-73.327051,4.927498
"Rupicola_peruvianus",-78.8846,-4.015
"Rupicola_peruvianus",-75.76568,3.91987
"Rupicola_peruvianus",-75.528,4.946
"Rupicola_peruvianus",-78.78345,0.124149
"Rupicola_peruvianus",-78.37238,-2.948472
"Rupicola_peruvianus",-75.71449,5.403592
"Rupicola_peruvianus",-76.00921,5.021606
"Rupicola_peruvianus",-76.69583,3.344168
"Rupicola_peruvianus",-73.2203,6.080382
"Rupicola_peruvianus",-75.422069,4.623547
"Rupicola_peruvianus",-75.388353,2.692439
"Rupicola_peruvianus",-77.03616,0.635975
"Rupicola_peruvianus",-77.98492,-2.0354
"Rupicola_peruvianus",-76.42092,1.907378
"Rupicola_peruvianus",-67.763054,-16.107841
"Rupicola_peruvianus",-76.72589,1.079018
"Rupicola_peruvianus",-71.407747,-13.056887
"Rupicola_peruvianus",-76.513145,1.376935
"Rupicola_peruvianus",-76.61456,3.433511
"Rupicola_peruvianus",-72.902985,5.169419
"Rupicola_peruvianus",-75.533195,2.15125
"Rupicola_peruvianus",-75.90302,5.883697
"Rupicola_peruvianus",-75.730675,3.056181
"Rupicola_peruvianus",-75.95661,5.634828
"Rupicola_peruvianus",-76.443436,1.433734
"Rupicola_peruvianus",-75.98151,2.094472
"Rupicola_peruvianus",-72.70009,-13.169597
